"COMMON.NAME" "SCIENTIFIC.NAME" "OBSERVATION.COUNT" "LATITUDE" "LONGITUDE" "DATE" "MONTH" "DAY" "MIGRANT"
"Striated Heron" "Butorides striata" "1" 25.205159 55.29646 "1999-04-05" "04" 95 "no"
"Gray Heron" "Ardea cinerea" "1" 25.169707 55.432797 "1999-03-01" "03" 60 "no"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1998-10-13" "10" 286 "no"
"Gray Heron" "Ardea cinerea" "3" 25.086263 55.163731 "1999-04-04" "04" 94 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-11-26" "11" 330 "no"
"Western Reef-Heron" "Egretta gularis" "200" 25.1921346 55.3193807 "1985-02-06" "02" 37 "no"
"Gray Heron" "Ardea cinerea" "3" 25.2052 55.2965 "1990-11-15" "11" 319 "no"
"Great Egret" "Ardea alba" "X" 25.2052 55.2965 "1990-09-20" "09" 263 "no"
"Bank Myna" "Acridotheres ginginianus" "3" 25.2052 55.2965 "1990-07-12" "07" 193 "no"
"Gray Heron" "Ardea cinerea" "1" 25.205159 55.29646 "1999-04-04" "04" 94 "no"
"Little Bittern" "Ixobrychus minutus" "1" 25.086263 55.163731 "1999-09-23" "09" 266 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1999-10-02" "10" 275 "no"
"House Crow" "Corvus splendens" "X" 25.086263 55.163731 "1999-09-05" "09" 248 "no"
"Great Gray Shrike" "Lanius excubitor" "4" 25.086263 55.163731 "1994-10-13" "10" 286 "no"
"Great Gray Shrike" "Lanius excubitor" "X" 25.086263 55.163731 "1990-09-27" "09" 270 "no"
"Pallid Harrier" "Circus macrourus" "1" 25.185622 55.2467036 "1988-10-01" "10" 275 "yes"
"Eurasian Sparrowhawk" "Accipiter nisus" "1" 25.185622 55.2467036 "1990-05-17" "05" 137 "yes"
"Great Egret" "Ardea alba" "2" 25.1921346 55.3193807 "1999-10-26" "10" 299 "no"
"Striated Heron" "Butorides striata" "1" 25.1921346 55.3193807 "1999-02-10" "02" 41 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.18465 55.24805 "1993-01-07" "01" 7 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 24.813432 56.142749 "1998-09-18" "09" 261 "no"
"Striated Heron" "Butorides striata" "1" 25.2052 55.2965 "1990-08-15" "08" 227 "no"
"Common Myna" "Acridotheres tristis" "X" 25.218198 55.44909 "1999-03-19" "03" 78 "no"
"Bank Myna" "Acridotheres ginginianus" "12" 25.205159 55.29646 "1988-10-09" "10" 283 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1999-09-06" "09" 249 "no"
"Great Egret" "Ardea alba" "1" 25.086263 55.163731 "1999-07-02" "07" 183 "no"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1999-05-17" "05" 137 "no"
"Little Bittern" "Ixobrychus minutus" "1" 25.185622 55.2467036 "1990-09-13" "09" 256 "no"
"Greater Spotted Eagle" "Clanga clanga" "1" 25.1921346 55.3193807 "1998-12-01" "12" 335 "yes"
"Great Egret" "Ardea alba" "17" 25.1921346 55.3193807 "1997-04-25" "04" 115 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.1921346 55.3193807 "1990-02-22" "02" 53 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.115566 55.165942 "1996-12-04" "12" 339 "no"
"Indian Roller" "Coracias benghalensis" "2" 25.218198 55.44909 "1998-10-08" "10" 281 "no"
"Eurasian Kestrel" "Falco tinnunculus" "1" 25.218198 55.44909 "1998-10-08" "10" 281 "yes"
"Great Egret" "Ardea alba" "2" 25.205159 55.29646 "1999-01-17" "01" 17 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.205159 55.29646 "1990-10-24" "10" 297 "yes"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "2" 25.169707 55.432797 "1999-11-20" "11" 324 "yes"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-05-23" "05" 143 "no"
"Western Reef-Heron" "Egretta gularis" "1" 25.086263 55.163731 "1999-01-20" "01" 20 "no"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1998-10-19" "10" 292 "no"
"House Crow" "Corvus splendens" "2" 25.086263 55.163731 "1996-10-30" "10" 304 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.185622 55.2467036 "1990-03-23" "03" 82 "no"
"European Roller" "Coracias garrulus" "4" 25.185622 55.2467036 "1990-03-30" "03" 89 "no"
"Great Egret" "Ardea alba" "1" 25.1921346 55.3193807 "1999-10-04" "10" 277 "no"
"Great Gray Shrike" "Lanius excubitor" "X" 25.2052 55.2965 "1992-02-10" "02" 41 "no"
"Long-legged Buzzard" "Buteo rufinus" "1" 25.205159 55.29646 "1999-11-15" "11" 319 "yes"
"Striated Heron" "Butorides striata" "2" 25.205159 55.29646 "1999-09-01" "09" 244 "no"
"Gray Heron" "Ardea cinerea" "X" 25.205159 55.29646 "1999-03-03" "03" 62 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1999-10-14" "10" 287 "no"
"Indian Roller" "Coracias benghalensis" "2" 25.086263 55.163731 "1999-05-20" "05" 140 "no"
"Western Reef-Heron" "Egretta gularis" "12" 25.1921346 55.3193807 "1999-02-20" "02" 51 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "6" 25.1921346 55.3193807 "1996-11-28" "11" 333 "yes"
"Indian Roller" "Coracias benghalensis" "X" 25.2052 55.2965 "1990-03-02" "03" 61 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 24.985556 55.024179 "1998-10-15" "10" 288 "no"
"Pallid Harrier" "Circus macrourus" "2" 25.036842 55.592214 "1993-03-13" "03" 72 "yes"
"Indian Roller" "Coracias benghalensis" "2" 25.218198 55.44909 "1998-10-08" "10" 281 "no"
"Imperial Eagle" "Aquila heliaca" "1" 25.205159 55.29646 "1991-11-05" "11" 309 "yes"
"Striated Heron" "Butorides striata" "2" 25.205159 55.29646 "1995-12-26" "12" 360 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.169707 55.432797 "1999-03-20" "03" 79 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1999-10-28" "10" 301 "no"
"Western Reef-Heron" "Egretta gularis" "1" 25.086263 55.163731 "1997-04-25" "04" 115 "no"
"Purple Heron" "Ardea purpurea" "1" 25.086263 55.163731 "1998-10-17" "10" 290 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-12-30" "12" 364 "no"
"Common Myna" "Acridotheres tristis" "X" 25.185622 55.2467036 "1990-09-13" "09" 256 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.1921346 55.3193807 "1991-01-04" "01" 4 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 24.790492 55.182906 "1996-03-29" "03" 89 "no"
"Indian Roller" "Coracias benghalensis" "1" 24.985556 55.024179 "1997-04-25" "04" 115 "no"
"House Crow" "Corvus splendens" "X" 25.218198 55.44909 "1995-01-24" "01" 24 "no"
"Purple Heron" "Ardea purpurea" "4" 25.205159 55.29646 "1999-09-29" "09" 272 "no"
"House Crow" "Corvus splendens" "3" 25.205159 55.29646 "1995-02-01" "02" 32 "no"
"Brown-necked Raven" "Corvus ruficollis" "2" 24.954086 55.278118 "1999-12-02" "12" 336 "no"
"Western Reef-Heron" "Egretta gularis" "1" 25.086263 55.163731 "1998-09-13" "09" 256 "no"
"Indian Roller" "Coracias benghalensis" "6" 25.086263 55.163731 "1999-06-24" "06" 175 "no"
"Great Gray Shrike" "Lanius excubitor" "3" 25.086263 55.163731 "1999-06-24" "06" 175 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1995-12-08" "12" 342 "no"
"Little Bittern" "Ixobrychus minutus" "1" 25.086263 55.163731 "1999-10-08" "10" 281 "no"
"Eurasian Sparrowhawk" "Accipiter nisus" "1" 25.086263 55.163731 "1999-10-08" "10" 281 "yes"
"House Crow" "Corvus splendens" "5" 25.185622 55.2467036 "1991-03-15" "03" 74 "no"
"Gray Heron" "Ardea cinerea" "120" 25.1921346 55.3193807 "1995-11-11" "11" 315 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.218198 55.44909 "1999-03-19" "03" 78 "no"
"Gray Heron" "Ardea cinerea" "3" 25.205159 55.29646 "1999-11-01" "11" 305 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.205159 55.29646 "1990-04-05" "04" 95 "no"
"Little Egret" "Egretta garzetta" "6" 25.205159 55.29646 "1999-12-30" "12" 364 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.205159 55.29646 "1998-10-08" "10" 281 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.169707 55.432797 "1999-04-10" "04" 100 "no"
"Eurasian Kestrel" "Falco tinnunculus" "8" 25.169707 55.432797 "1999-11-13" "11" 317 "yes"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-11-07" "11" 311 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.185622 55.2467036 "1990-09-21" "09" 264 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.185622 55.2467036 "1990-12-14" "12" 348 "no"
